"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jun 19 09:09:44 GMT 2022","Sun Jun 19 09:10:14 GMT 2022","30140","chromium","tests/github-search.test.ts","GitHub - Search Result","","","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword",""
"broken","Sun Jun 19 09:09:14 GMT 2022","Sun Jun 19 09:09:44 GMT 2022","30128","chromium","tests/github-search.test.ts","GitHub - Search Result","","","should verify search result with valid repository name",""
